termino_normalizado,frecuencia,ejemplo_original
polacca,1,polacca
bca amerc,1,bca amerc
xap,1,xap
duches,1,duches
hdra,1,hdra
vapur,1,vapur
grta,1,grta
ol,1,ol
cl,1,cl
pacifico,1,Pacifico
yaakt,1,yaakt
barca italiana,1,barca italiana
lure,1,lure
berg barca,1,"berg, barca"
bergam,1,bergam
bergt gta,1,bergt gta
lugre raso,1,lugre raso
idid,1,Idid
hara,1,hara
brica,1,brica
vapor berg,1,vapor berg
glt,1,glt.
ing,1,ing.
barga,1,barga
pampa,1,Pampa
bergs goleta,1,bergs goleta
paileboto,1,paileboto
barca pailebot,1,barca pailebot
pavlebot,1,pavlebot
yate a vapor,1,yate á vapor
yaylebot,1,yaylebot
paylebet,1,paylebet
pay bt,1,pay bt
pybt,1,pybt
portena,1,Porteña
pailgbot,1,pailgbot
vapor pqt,1,vapor pqt
bgtn,1,bgtn
barcana,1,barcana
goleta bergantina,1,goleta bergantina
post,1,post
india,1,India
emilia,1,Emilia
bba,1,Bba
beaitaliana,1,beaitaliana
vel bca,1,Vel bca
rosa bca,1,rosa bca
lemnoz,1,lemnoz
gtaoriental,1,gtaoriental
vopor,1,Vopor
volador,1,Volador
hca americana,1,Hca americana
beca inglesa,1,beca inglesa
pbpt,1,pbpt
st antoine,1,St Antoine
tridente,1,Tridente
nao,1,nao
glaster bea,1,Glaster Bea
meteor,1,Meteor
agnees,1,Agnées
emmanuele,1,Emmanuele
m bca,1,M Bca
camara,1,cámara
bea sueca,1,Bea Sueca
palomita,1,Palomita
vl,1,vl
qca,1,qca
c colombo,1,C Colombo
vr,1,vr
berg gti,1,Berg Gti
be itna,1,be itna
pt nc,1,pt nc
vpr,1,vpr
bb,1,bb
plt,1,plt
fraging,1,fraging
vaping,1,vaping
vp itn,1,vp itn
vpfces,1,vpfces
tp,1,tp
bcalm,1,bcalm
beita,1,beita
vo,1,vo
bca alm,1,bca alm
pit,1,pit
bea it,1,bea it
lugresito,1,lugresito
van,1,van
bc itl,1,bc itl
aca,1,aca
oapor,1,Oapor
bdra oriental,1,Bdra Oriental
bergansin,1,Bergansin
berg gita,1,Berg Gita
forcera,1,Forcera
berganti n goleta,1,Berganti n goleta
eca,1,Eca
nca,1,nca
bea rusa,1,Bea Rusa
lechon,1,Lechon
beg,1,Beg.
ave,1,Ave
d del mar,1,D. del mar
helvetico,1,Helvetico
banda,1,Banda
inglesa,1,Inglesa
bca rusa,1,Bca Rusa
surto,1,Surto
maritimo,1,Marítimo
berg espanol,1,Berg Español
fpbot,1,FPbot
may-lugre,1,May-Lugre
gta espanola,1,Gta Española
lufire,1,Lufire
va or,1,Va. or.
via,1,Via
l a-barra,1,L'A-Barra
papor,1,Papor
eergantin,1,Eergantin
espresso,1,espresso
meve-lugre,1,Méve-Lugre
barea inglesa,1,Barea inglesa
barct,1,Barct
aeriantin,1,Aeriantin
bergantil,1,Bergantil
manejo,1,manejo
cbta,1,Cbta
q bca,1,Q. Bca.
bec,1,Bec.
gta holandesa,1,Gta Holandesa
bica,1,bica
darca,1,Darca
aarca,1,Aarca
bergantinaleman,1,Bergantinaleman
polikarp,1,Polikarp
borglild,1,borglild
transatlantic bca,1,Transatlantic bca
ole,1,Ole
dera,1,Dera
svunen bea,1,Svunen bea
madre bea,1,madre bea
vemer,1,Vemer
schooner,1,Schooner
nor,1,nor
astrea,1,Astrea
vapar,1,Vapar
dk,1,DK
ptcno,1,ptcno
rollo,1,rollo
pensher,1,Pensher
bce,1,bce
plyt,1,plyt
mimi,1,Mimi
geronimo,1,gerónimo
prot,1,prot
vep,1,vep
barcasueca,1,barcasueca
nornega,1,nornega
pailebot vapor,1,pailebot vapor
brea,1,brea
golondrina ii,1,Golondrina II
neptuno,1,Neptuno
prince,1,Prince
patiebot,1,patiebot
fd,1,fd
vapor remolcador,1,vapor remolcador
trasporto,1,trasporto
ponton-faro,1,pontón-faro
remolcador y chata a vapor,1,remolcador y chata á vapor
chatas a vapor,1,chatas á vapor
acorazados,1,acorazados
cazatorpedero y destroyer,1,cazatorpedero y destroyer
pailebote a vapor,1,pailebote á vapor
destructor,1,destructor
cazatorpedero,1,cazatorpedero
grua,1,grúa
tras,1,tras
