termino_normalizado,frecuencia,ejemplo_original
haburgo,2,Haburgo
portland estados unidos,2,Portland (Estados Unidos)
esquinas,2,Esquinas
jamaica,2,Jamaica
hayre,2,Hayre
entrada de los rios,2,ENTRADA DE LOS RIOS
santa-ee,2,Santa-Eé
paranaguay,2,Paranaguay
roman,2,Roman
estado-oriental,2,Estado-oriental
tordillo,2,Tordillo
india,2,India
oriental,2,Oriental
bernambuco,2,Bernambuco
lima,2,Lima
fray bento,2,Fray Bento
talas,2,Talas
nueva-castle,2,Nueva-Castle
wellington,2,Wellington
lisbon,2,Lisbon
plymouth,2,Plymouth
corrientes y san nicolas,2,Corrientes y San Nicolas
mauricio,2,Mauricio
paranagui,2,Paranagui
concordia y salto,2,Concordia y Salto
sauta fe,2,Sauta Fé
gualeguaycha,2,Gualeguaycha
chascomus,2,Chascomus
roman chico,2,Roman Chico
brest,2,Brest
algeciras,2,Algeciras
cabotaje,2,CABOTAJE
farnagua,2,Farnaguá
dos hermanas,2,Dos Hermanas
mar ella,2,Mar ella
vacas,2,Vacas
gualaguay,2,Gualaguay
santa cruz de tenerife,2,Santa Cruz de Tenerife
badiz,2,Badiz
albuquerque,2,Albuquerque
zarata,2,Zárata
alburqueque,2,Alburqueque
havana,2,Havana
beila vista,2,Beila vista
mente,2,Mente
cardeff,2,Cardeff
partland,2,Partland
bagia,2,Bagia
viatoria,2,Viatoria
rio jeneiro,2,Rio Jeneiro
panama,2,Panamá
salto priental,2,Salto Priental
tuya,2,Tuya
hul,2,Hul
africa,2,Africa
liverpeol,2,Liverpeol
jujuy,2,Jujuy
s n pedro,2,S. n Pedro
gualeguai,2,Gualeguai
golonia,2,Golonia
barmelo,2,Barmelo
carmel,2,Carmel
sant-fe,2,Sant-Fé
buadeos,2,Buadeos
parnahua,2,Parnahua
senta fe,2,Senta Fé
north shields,2,North Shields
empedrada,2,Empedrada
gonova,2,Gonova
hamburga,2,Hamburga
livarpool,2,Livarpool
carmolo,2,Carmolo
caruelo,2,Caruelo
gualegnay,2,Gualegnay
lelas,2,lelas
bangor e u,2,Bangor (E. U.)
aju,2,Ajú
vella vista,2,Vella Vista
cadis,2,Cadis
new-bedford,2,New-Bedford
curdeos,2,Curdeos
mina,2,Mina
melazzo,2,Melazzo
llancoy,2,Llancoy
empedrados,2,Empedrados
dublin,2,Dublin
vietoria,2,Vietoria
guyaba,2,Guyabá
nuova palmira,2,Nuova Palmira
swamea,2,Swamea
salvador,2,Salvador
ria,2,ria
pernambuce,2,Pernambuce
islas pailebot,2,Islas pailebot
anvers,2,Anvers
el,2,el
de mayo,2,28 de Mayo
montovideo,2,Montovideo
queguay,2,Queguay
rotterdan,2,Rotterdan
pernambueo,2,Pernambueo
asunciou,2,Asunciou
zanzibar,2,Zanzibar
retterdam,2,Retterdam
port,2,Port
havro,2,Havro
corientes,2,Corientes
burdeo,2,Burdeo
new casthe,2,New Casthe
islas estado oriental,2,Islas [Estado Oriental]
carril espana,2,Carril (España)
sevansea,2,Sevansea
urugua,2,Urugua
cardiffe,2,Cardiffe
franfort,2,Franfort
st john n b,2,St. John (N. B.)
islis,2,Islis
santiago de cuba,2,Santiago de Cuba
lieth,2,Lieth
roterdan,2,Roterdan
islas uruguay,2,Islas Uruguay
san tome chile,2,San Tomé [Chile]
portladd,2,Portladd
machias e u,2,Machias (E. U.)
macias e u,2,"Macias, (E. U.)"
nuevo puerto,2,Nuevo puerto
savannah e u,2,Savannah (E. U.)
islrs,2,Islrs
be la vista,2,Be la Vista
swansca,2,Swansca
islas baladra,2,Islas baladra
milaso,2,Milaso
cadix,2,Cadix
fortland,2,Fortland
aguas arribas,2,Aguas arribas
montreal e u,2,Montreal (E. U.)
san fernandez,2,San Fernandez
sarannah,2,Sarannah
rio paraguay,2,Río Paraguay
necoport,2,Necoport
colouia,2,Colouia
matanzas isla de cuba,2,Matanzas (Isla de Cuba)
new post,2,New Post
new-brunswick,2,New-Brunswick
montrael,2,Montrael
quilmes,2,Quilmes
biradero,2,Biradero
st john s nueva brunswick,2,St. John's (Nueva Brunswick)
bellavista,2,Bellavista
boyona,2,Boyona
la have nueva escocia,2,La Have (Nueva Escocia)
sant -fe,2,Sant -Fé
stettin,2,Stettin
portugal,2,Portugal
caravelas,2,Caravelas
soutampton,2,Soutampton
rosario del paraguay,2,Rosario del Paraguay
guleguaychu,2,Guleguaychú
marin espana,2,Marin (España)
curuna,2,Curuña
islas gia dominga,2,Islas gia. Dominga
parauagua,2,Parauaguá
dos hermanos,2,Dos hermanos
swancea,2,Swancea
taragona,2,Taragona
bremon,2,Bremon
villa-colon,2,Villa-Colon
florida,2,Florida
necuportel,2,Necúportel
sebastian,2,Sebastian
san antonio de itate,2,San Antonio de Itate
nuevo san pedro,2,Nuevo San Pedro
saint mary s,2,Saint Mary's
san sebastian,2,San Sebastian
monte carmelo,2,Monte Carmelo
tuyu qche,2,Tuyú qche
burdos,2,Burdos
nva york,2,Nva. York
santa cruz patagones,2,Santa Cruz (Patagones)
benicarlo espana,2,Benicarló (España)
islas del mini,2,Islas del Miní
stanley,2,Stanley
rio azul,2,Rio Azul
savarah,2,Savarah
santa-pe,2,Santa-Pé
glasgoco,2,Glasgoco
soderhamn,2,Soderhamn
skutskar,2,Skutskar
neustadt,2,Neustadt
neucastle,2,Neucastle
rosarp,2,Rosarp
glasglow,2,Glasglow
ita-ibate,2,Ita-Ibaté
mercedes r o,2,Mercedes (R. O.)
islas de s fernando,2,Islas de S. Fernando
portvendre,2,Portvendre
san john,2,San John
guantanamo,2,Guantanamo
villor del pilar,2,Villor del Pilar
marsala,2,Marsala
richimond,2,Richimond
portvendres,2,Portvendres
islas argentinas,2,Islas Argentinas
lunderland,2,Lunderland
cordiff,2,Cordiff
leitt,2,Leitt
nueva brigida,2,Nueva Brigida
savannack,2,Savannack
brunsvich,2,Brunsvich
nue-york,2,Nue-York
elizabeth,2,Elizabeth
bdra del tuyu,2,Bdra del Tuyú
del salto,2,del Salto
s uruguay,2,S. Uruguay
ibisa espana,2,Ibisa (España)
almeria espana,2,Almería (España)
new part,2,New Part
mobile e u,2,Mobile (E U)
penco chile,2,Penco (Chile)
australia,2,Australia
edinburgo,2,Edinburgo
colombia,2,Colombia
edimburgo,2,Edimburgo
alto parana,2,Alto Paraná
sevilla,2,Sevilla
natal,2,Natal
new porth,2,New Porth
new catle,2,New Catle
litoral,2,Litoral
uraguay,2,Uraguay
peusacola,2,Peusacola
pcho de corrientes,2,Pcho de Corrientes
saint nazaire,2,Saint Nazaire
castro,2,Castro
pbot de la paz,2,"Pbot, de la Paz"
b vista,2,B. Vista
necochea,2,Necochea
posadas,2,Posadas
aden,2,Aden
bridgwater,2,Bridgwater
ambores,2,Ambores
brmnrick,2,Brmnrick
dover,2,Dover
aberdeen,2,Aberdeen
gangremont,2,Gangremont
brumwick,2,Brumwick
candiff,2,Candiff
gelle,2,Gelle
gangremonth,2,Gangremonth
desterro,2,DESTERRO
townsend,2,Townsend
pascagonia,2,Pascagonia
quelve,2,Quelve
gotenburg,2,Gotenburg
farmouth,2,Farmouth
de los rios,2,DE LOS RÍOS
burddos,2,Burddos
string,2,string
aragon,2,Aragon
biloxi,2,Biloxi
chicontini,2,Chicontini
villagarcia,2,Villagarcia
canal sur,2,canal Sur
loanda,2,Loanda
dakar,2,Dakar
durham,2,Durham
puerto belgrano,2,Puerto Belgrano
rada en el riachuelo,2,rada en el Riachuelo
west hartlepool,2,West Hartlepool
cabo blanco,2,Cabo Blanco
camarones,2,Camarones
arroyo verde,2,Arroyo Verde
gulport,2,Gulport
fredrikshald,2,Fredrikshald
matane,2,Matane
vancouver,2,Vancouver
venecia,2,Venecia
puerto militar,2,Puerto Militar
spalato,2,Spalato
lourenzo marquez,2,Lourenzo Marquez
s salvador,1,S. Salvador
assu,1,Assû
sandbal,1,Sandbal
rosario costa oriental,1,Rosario (costa Oriental)
paisanda,1,Paisanda
harre,1,Harre
bath,1,Bath
ysla de buena vista,1,Ysla de Buena Vista
salto costa oriental,1,Salto (costa oriental)
libau,1,Libau
val de sal,1,Val de Sal
usages,1,usages
burdeus,1,Burdeus
sito,1,Sito
bucco,1,Bucco
diamante entrerios,1,Diamante [Entrerios]
yslas del uruguay,1,Yslas del Uruguay
yslas del cabo verde,1,Yslas del Cabo Verde
san catalina,1,San Catalina
balaija,1,Balaija
santis,1,Santis
la bajada del parana,1,la Bajada del Paraná
sau salvador,1,Sau salvador
azu rio grande del norte,1,Azu (Rio Grande del Norte)
